hiring_unit_id,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_2digit
0,_16,2016,1.0,1,1
2,_21,2012,0.0,1,0
5,_20,2017,0.0,1,0
6,_19,2013,0.0,1,0
6,_25,2013,1.0,1,1
7,_19,2017,0.0,1,0
8,_25,2012,1.0,1,1
12,_31,2012,1.0,1,1
15,_16,2013,0.0,1,0
16,_10,2012,0.0,1,0
17,_13,2012,1.0,1,1
19,_15,2011,0.0,2,0
20,_22,2012,1.0,1,1
21,_31,2017,0.0,1,0
60000126,_19,2012,0.0,1,0
60000174,_11,2016,0.0,1,0
60000174,_13,2016,0.0,1,0
60000174,_26,2015,0.0,1,0
60000174,_31,2016,0.0,1,0
60000937,_11,2015,0.0,1,0
60000937,_13,2016,0.0,1,0
60000937,_22,2015,0.0,1,0
60000937,_24,2015,0.0,1,0
60000937,_25,2015,0.0,1,0
60000937,_27,2016,0.0,1,0
60000937,_31,2015,0.5,2,0
60001255,_16,2012,0.0,2,0
60001255,_22,2013,0.0,1,0
60001255,_25,2013,0.0,1,0
60001298,_13,2017,0.0,2,0
60001298,_16,2012,0.0,1,0
60001298,_17,2012,0.0,1,0
60001298,_19,2017,0.0,1,0
60001298,_27,2016,0.0,1,0
60001429,_21,2017,0.0,1,0
60001666,_19,2015,0.0,1,0
60002033,_13,2012,1.0,1,1
60002222,_31,2017,0.0,1,0
60002246,_10,2011,0.0,1,0
60002246,_13,2017,0.0,2,0
60002246,_16,2013,0.0,3,0
60002246,_25,2015,0.0,1,0
60002299,_24,2017,0.0,1,0
60002593,_13,2015,0.0,2,0
60002593,_27,2013,0.0,1,0
60002593,_28,2016,0.0,1,0
60002593,_30,2017,0.0,1,0
60002836,_16,2011,0.0,1,0
60003078,_11,2015,0.0,1,0
60003146,_16,2016,0.0,1,0
60003353,_22,2017,0.5,2,0
60003353,_31,2015,0.0,1,0
60003707,_15,2017,0.0,1,0
60003707,_26,2011,0.0,2,0
60003970,_10,2012,0.5,2,0
60003970,_11,2012,1.0,1,1
60003970,_13,2012,0.0,3,0
60003970,_15,2013,0.0,1,0
60003970,_16,2011,0.0,2,0
60003970,_17,2012,0.0,1,0
60003970,_19,2011,0.0,1,0
60003970,_21,2016,0.0,1,0
60003970,_22,2011,0.0,2,0
60003970,_23,2016,0.0,2,0
60003970,_24,2012,0.0,1,0
60003970,_25,2011,0.0,1,0
60003970,_26,2011,0.0,1,0
60003970,_27,2011,0.0,1,0
60003970,_28,2015,0.0,2,0
60003970,_30,2013,0.0,1,0
60003970,_31,2012,0.0,4,0
60003970,_33,2013,1.0,1,1
60003977,_10,2017,0.0,1,0
60003977,_16,2015,0.0,1,0
60003977,_17,2013,0.0,1,0
60003977,_22,2011,0.0,1,0
60003977,_25,2015,0.0,1,0
60003977,_31,2015,0.0,1,0
60004246,_22,2011,0.0,1,0
60004538,_15,2012,0.0,1,0
60004538,_16,2017,0.0,4,0
60004538,_22,2012,0.5,2,0
60004538,_23,2016,1.0,1,1
60004538,_25,2013,0.0,1,0
60004538,_31,2011,0.0,1,0
60004630,_10,2016,0.0,1,0
60004630,_11,2015,0.0,1,0
60004630,_23,2017,0.0,1,0
60004630,_27,2017,0.0,1,0
60005027,_16,2013,0.0,1,0
