hiring_unit_id,subfield_most_frequent,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_4digit
0,_1600,_16,2016,1.0,1,1
2,_2104,_21,2012,0.0,1,0
5,_2002,_20,2017,0.0,1,0
6,_1908,_19,2013,0.0,1,0
6,_2500,_25,2013,1.0,1,1
7,_1909,_19,2017,0.0,1,0
8,_2500,_25,2012,1.0,1,1
12,_3104,_31,2012,1.0,1,1
15,_1600,_16,2013,0.0,1,0
16,_1000,_10,2012,0.0,1,0
17,_1303,_13,2013,0.0,1,0
17,_1307,_13,2012,1.0,1,1
19,_1500,_15,2011,0.0,2,0
20,_2211,_22,2012,1.0,1,1
21,_3104,_31,2017,0.0,1,0
60000126,_1908,_19,2012,0.0,1,0
60000174,_1105,_11,2016,0.0,1,0
60000174,_1303,_13,2016,0.0,1,0
60000174,_2600,_26,2015,0.0,1,0
60000174,_3107,_31,2016,0.0,1,0
60000937,_1110,_11,2015,0.0,1,0
60000937,_1307,_13,2016,0.0,1,0
60000937,_2208,_22,2015,0.0,1,0
60000937,_2209,_22,2017,0.0,1,0
60000937,_2403,_24,2017,0.0,1,0
60000937,_2404,_24,2015,0.0,1,0
60000937,_2500,_25,2015,0.0,1,0
60000937,_2503,_25,2017,0.0,1,0
60000937,_2700,_27,2016,0.0,1,0
60000937,_2730,_27,2017,0.0,1,0
60000937,_2741,_27,2017,0.0,1,0
60000937,_3104,_31,2016,0.0,1,0
60000937,_3107,_31,2015,0.5,2,0
60001255,_1600,_16,2012,0.0,2,0
60001255,_1605,_16,2017,0.0,1,0
60001255,_2210,_22,2013,0.0,1,0
60001255,_2500,_25,2013,0.0,1,0
60001255,_2507,_25,2016,0.0,1,0
60001298,_1300,_13,2017,0.0,1,0
60001298,_1303,_13,2017,0.0,1,0
60001298,_1600,_16,2012,0.0,1,0
60001298,_1705,_17,2012,0.0,1,0
60001298,_1911,_19,2017,0.0,1,0
60001298,_2741,_27,2016,0.0,1,0
60001429,_2103,_21,2017,0.0,1,0
60001666,_1909,_19,2015,0.0,1,0
60002033,_1304,_13,2012,1.0,1,1
60002222,_3107,_31,2017,0.0,1,0
60002246,_1000,_10,2011,0.0,1,0
60002246,_1311,_13,2017,0.0,1,0
60002246,_1312,_13,2017,0.0,1,0
60002246,_1600,_16,2013,0.0,2,0
60002246,_1605,_16,2013,0.0,1,0
60002246,_2500,_25,2015,0.0,1,0
60002299,_2404,_24,2017,0.0,1,0
60002593,_1307,_13,2015,0.0,1,0
60002593,_1311,_13,2015,0.0,1,0
60002593,_2700,_27,2013,0.0,1,0
60002593,_2730,_27,2016,0.0,1,0
60002593,_2800,_28,2016,0.0,1,0
60002593,_3004,_30,2017,0.0,1,0
60002836,_1605,_16,2011,0.0,1,0
60003078,_1110,_11,2015,0.0,1,0
60003146,_1600,_16,2016,0.0,1,0
60003353,_2212,_22,2017,0.5,2,0
60003353,_3107,_31,2015,0.0,1,0
60003707,_1505,_15,2017,0.0,1,0
60003707,_2600,_26,2011,0.0,1,0
60003707,_2602,_26,2011,0.0,1,0
60003707,_2603,_26,2017,0.0,1,0
60003970,_1000,_10,2012,0.5,2,0
60003970,_1102,_11,2017,1.0,1,1
60003970,_1103,_11,2015,0.0,1,0
60003970,_1104,_11,2015,0.0,1,0
60003970,_1105,_11,2013,0.0,1,0
60003970,_1106,_11,2015,0.0,2,0
60003970,_1110,_11,2012,1.0,1,1
60003970,_1300,_13,2013,0.0,1,0
60003970,_1303,_13,2013,0.0,1,0
60003970,_1306,_13,2013,0.0,1,0
60003970,_1307,_13,2012,0.0,1,0
60003970,_1311,_13,2012,0.0,1,0
60003970,_1312,_13,2012,0.0,1,0
60003970,_1500,_15,2013,0.0,1,0
60003970,_1600,_16,2011,0.0,1,0
60003970,_1603,_16,2011,0.0,1,0
